Serial Number,Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Test,Population
43,Serbia," 24,71,198.00 "," 17,701.00 "," 24,40,527.00 "," 12,970.00 "," 1,21,54,486.00 "," 86,53,016.00 "
44,Iraq," 24,65,545.00 "," 25,375.00 "," 24,39,497.00 ", 673.00 ," 1,95,44,451.00 "," 4,21,64,965.00 "
45,Singapore," 22,17,110.00 "," 1,722.00 "," 21,44,490.00 "," 70,898.00 "," 2,47,56,666.00 "," 59,43,546.00 "
46,Hungary," 21,92,447.00 "," 48,677.00 "," 21,39,857.00 "," 3,913.00 "," 1,13,94,556.00 "," 96,06,259.00 "
47,New Zealand," 21,82,355.00 "," 3,781.00 "," 21,69,320.00 "," 9,254.00 "," 77,10,637.00 "," 48,98,203.00 "
48,Bangladesh," 20,37,556.00 "," 29,442.00 "," 19,92,694.00 "," 15,420.00 "," 1,52,47,014.00 "," 16,78,85,689.00 "
49,Slovakia," 18,60,893.00 "," 20,946.00 "," 18,39,309.00 ", 638.00 ," 73,90,781.00 "," 54,60,193.00 "
50,Georgia," 18,14,180.00 "," 16,926.00 "," 17,76,548.00 "," 20,706.00 "," 1,69,20,079.00 "," 39,68,738.00 "
51,Jordan," 17,46,997.00 "," 14,122.00 "," 17,31,007.00 "," 1,868.00 "," 1,72,01,885.00 "," 1,03,00,869.00 "
52,Ireland," 17,00,253.00 "," 8,462.00 "," 16,85,183.00 "," 6,608.00 "," 1,29,84,257.00 "," 50,20,199.00 "
53,Pakistan," 15,76,313.00 "," 30,640.00 "," 15,38,689.00 "," 6,984.00 "," 3,05,70,862.00 "," 22,94,88,994.00 "
54,Norway," 14,77,856.00 "," 5,112.00 "," 14,71,835.00 ", 909.00 ," 1,10,02,430.00 "," 55,11,370.00 "
55,Finland," 14,58,619.00 "," 8,639.00 "," 14,47,569.00 "," 2,411.00 "," 1,20,17,711.00 "," 55,54,960.00 "
56,Kazakhstan," 14,05,917.00 "," 13,695.00 "," 13,83,020.00 "," 9,202.00 "," 1,15,75,012.00 "," 1,92,05,043.00 "
57,Slovenia," 13,21,852.00 "," 7,056.00 "," 13,11,159.00 "," 3,637.00 "," 28,24,843.00 "," 20,78,034.00 "
58,Lithuania," 12,96,865.00 "," 9,545.00 "," 12,82,528.00 "," 4,792.00 "," 1,03,50,770.00 "," 26,61,708.00 "
59,Bulgaria," 12,95,426.00 "," 38,179.00 "," 12,54,491.00 "," 2,756.00 "," 1,09,87,749.00 "," 68,44,597.00 "
60,Morocco," 12,72,240.00 "," 16,296.00 "," 12,55,881.00 ", 63.00 ," 1,29,30,733.00 "," 3,77,72,756.00 "
61,Croatia," 12,67,580.00 "," 17,877.00 "," 12,49,168.00 ", 535.00 ," 54,76,183.00 "," 40,59,286.00 "
62,Lebanon," 12,28,639.00 "," 10,790.00 "," 10,87,587.00 "," 1,30,262.00 "," 47,95,578.00 "," 66,84,849.00 "
63,Guatemala," 12,27,853.00 "," 20,106.00 "," 12,04,545.00 "," 3,202.00 "," 67,57,892.00 "," 1,85,84,039.00 "
64,Bolivia," 11,87,986.00 "," 22,346.00 "," 11,46,143.00 "," 19,497.00 "," 27,05,422.00 "," 1,19,92,656.00 "
65,Costa Rica," 11,86,176.00 "," 9,158.00 "," 8,60,711.00 "," 3,16,307.00 "," 46,59,757.00 "," 51,82,354.00 "
66,Tunisia," 11,50,356.00 "," 29,308.00 ", N/A , N/A ," 49,97,373.00 "," 1,20,46,656.00 "
